Date,Year,Month,Number of  Users,Country,State,Product Category,Sub Category,Quantity, Unit Cost , Unit Price , Cost , Revenue 
2/19/16,2016 ,February,29,Brazil,Bahia,Educational Services,Data Collection,1, 80.00 , 109.00 , 80.00 , 109.00 
2/20/16,2016 ,February,29,Brazil,Bahia,Food Products,Seed,2, 24.50 , 28.50 , 49.00 , 57.00 
2/27/16,2016 ,February,29,Brazil,Bahia,Educational Services,Data Collection,3, 3.67 , 5.00 , 11.00 , 15.00 
3/12/16,2016 ,March,29,Brazil,Bahia,Educational Services,Data Collection,2, 87.50 , 116.50 , 175.00 , 233.00 
3/12/16,2016 ,March,29,Brazil,Bahia,Educational Services,Data Collection,3, 35.00 , 41.67 , 105.00 , 125.00 
4/8/16,2016 ,April,29,Brazil,Bahia,Educational Services,Data Collection,1, 66.00 , 78.00 , 66.00 , 78.00 
4/17/16,2016 ,April,29,Brazil,Bahia,Educational Services,Data Collection,2, 52.00 , 60.00 , 104.00 , 120.00 
4/17/16,2016 ,April,29,Brazil,Bahia,Educational Services,Data Collection,1, 60.00 , 68.00 , 60.00 , 68.00 
6/22/16,2016 ,June,29,Brazil,Bahia,Educational Services,Data Collection,2, 8.00 , 10.00 , 16.00 , 20.00 
6/22/16,2016 ,June,29,Brazil,Bahia,Educational Services,Data Collection,2, 2.50 , 3.00 , 5.00 , 6.00 
6/24/16,2016 ,June,29,Brazil,Bahia,Educational Services,Basic Training,2, 17.50 , 21.00 , 35.00 , 42.00 
7/1/16,2016 ,July,29,Brazil,Bahia,Educational Services,Data Collection,3, 40.00 , 48.67 , 120.00 , 146.00 
7/22/16,2016 ,July,29,Brazil,Bahia,Educational Services,Data Collection,2, 46.00 , 60.00 , 92.00 , 120.00 
7/22/16,2016 ,July,29,Brazil,Bahia,Educational Services,Data Collection,1, 9.00 , 10.00 , 9.00 , 10.00 
8/18/15,2015 ,August,29,Brazil,Bahia,Educational Services,Basic Training,3, 151.67 , 181.33 , 455.00 , 544.00 
8/30/15,2015 ,August,29,Brazil,Bahia,Educational Services,Data Collection,3, 70.00 , 72.67 , 210.00 , 218.00 
9/17/15,2015 ,September,29,Brazil,Bahia,Educational Services,Data Collection,1, 385.00 , 439.00 , 385.00 , 439.00 
9/17/15,2015 ,September,29,Brazil,Bahia,Educational Services,Data Collection,2, 72.50 , 86.50 , 145.00 , 173.00 
9/17/15,2015 ,September,29,Brazil,Bahia,Educational Services,Basic Training,3, 210.00 , 212.67 , 630.00 , 638.00 
9/24/15,2015 ,September,29,Brazil,Bahia,Educational Services,Data Collection,1, 64.00 , 74.00 , 64.00 , 74.00 
9/24/15,2015 ,September,29,Brazil,Bahia,Educational Services,Basic Training,3, 326.67 , 359.67 , 980.00 ," 1,079.00 "
10/7/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,1, 125.00 , 136.00 , 125.00 , 136.00 
10/7/15,2015 ,October,29,Brazil,Bahia,Educational Services,Basic Training,2, 17.50 , 18.00 , 35.00 , 36.00 
10/7/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,2, 215.00 , 226.00 , 430.00 , 452.00 
10/7/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,3, 22.00 , 23.00 , 66.00 , 69.00 
10/13/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,1, 750.00 , 820.00 , 750.00 , 820.00 
10/20/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,2, 60.00 , 70.50 , 120.00 , 141.00 
10/20/15,2015 ,October,29,Brazil,Bahia,Educational Services,Data Collection,1, 125.00 , 130.00 , 125.00 , 130.00 
10/20/15,2015 ,October,29,Brazil,Bahia,Educational Services,Basic Training,1, 140.00 , 143.00 , 140.00 , 143.00 
11/1/15,2015 ,November,29,Brazil,Bahia,Educational Services,Data Collection,2, 192.50 , 213.50 , 385.00 , 427.00 
11/1/15,2015 ,November,29,Brazil,Bahia,Educational Services,Data Collection,3, 38.33 , 43.33 , 115.00 , 130.00 
11/1/15,2015 ,November,29,Brazil,Bahia,Educational Services,Basic Training,3, 151.67 , 170.00 , 455.00 , 510.00 
11/15/15,2015 ,November,29,Brazil,Bahia,Educational Services,Data Collection,1, 56.00 , 65.00 , 56.00 , 65.00 
11/15/15,2015 ,November,29,Brazil,Bahia,Educational Services,Data Collection,3, 108.67 , 123.67 , 326.00 , 371.00 
11/15/15,2015 ,November,29,Brazil,Bahia,Educational Services,Data Collection,3, 14.67 , 15.00 , 44.00 , 45.00 
12/15/15,2015 ,December,29,Brazil,Bahia,Educational Services,Basic Training,2, 280.00 , 269.00 , 560.00 , 538.00 
12/16/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,2, 293.50 , 320.50 , 587.00 , 641.00 
12/16/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,2, 2.00 , 2.00 , 4.00 , 4.00 
12/16/15,2015 ,December,29,Brazil,Bahia,Educational Services,Basic Training,1, 420.00 , 472.00 , 420.00 , 472.00 
12/20/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,2, 275.50 , 303.00 , 551.00 , 606.00 
12/20/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,1, 120.00 , 120.00 , 120.00 , 120.00 
12/20/15,2015 ,December,29,Brazil,Bahia,Educational Services,Basic Training,1, 630.00 , 624.00 , 630.00 , 624.00 
12/25/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,2, 32.50 , 36.00 , 65.00 , 72.00 
12/25/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,3, 338.33 , 389.33 ," 1,015.00 "," 1,168.00 "
12/25/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,3, 10.67 , 11.00 , 32.00 , 33.00 
12/29/15,2015 ,December,29,Brazil,Bahia,Educational Services,Data Collection,3, 36.67 , 41.67 , 110.00 , 125.00 
12/29/15,2015 ,December,29,Brazil,Bahia,Educational Services,Basic Training,2, 245.00 , 249.50 , 490.00 , 499.00 
7/22/15,2015 ,July,18,Brazil,Amazonas,Educational Services,Food Management,1, 636.00 , 677.00 , 636.00 , 677.00 
10/10/15,2015 ,October,18,Brazil,Amazonas,Educational Services,Food Management,3, 159.00 , 170.67 , 477.00 , 512.00 
4/13/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,3, 7.67 , 8.33 , 23.00 , 25.00 
4/14/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,3, 106.33 , 132.33 , 319.00 , 397.00 
4/18/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,1, 717.00 , 892.00 , 717.00 , 892.00 
4/18/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,3, 5.33 , 6.67 , 16.00 , 20.00 
4/26/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,1, 225.00 , 275.00 , 225.00 , 275.00 
7/27/15,2015 ,July,19,Brazil,Goias,Educational Services,Food Security,2, 797.50 , 813.00 ," 1,595.00 "," 1,626.00 "
4/26/16,2016 ,April,45,Chile,Arica,Educational Services,Data Collection,2, 37.50 , 42.00 , 75.00 , 84.00 
5/8/16,2016 ,May,45,Chile,Arica,Educational Services,Supervisor trainings,3, 46.67 , 63.33 , 140.00 , 190.00 
6/11/16,2016 ,June,45,Chile,Arica,Educational Services,Data Collection,3, 9.33 , 11.00 , 28.00 , 33.00 
6/11/16,2016 ,June,45,Chile,Arica,Educational Services,Data Collection,3, 76.00 , 107.00 , 228.00 , 321.00 
6/22/16,2016 ,June,45,Chile,Arica,Educational Services,Data Collection,3, 20.00 , 24.00 , 60.00 , 72.00 
6/22/16,2016 ,June,45,Chile,Arica,Educational Services,Supervisor trainings,2, 350.00 , 384.50 , 700.00 , 769.00 
8/12/15,2015 ,August,45,Chile,Arica,Educational Services,Data Collection,3, 46.67 , 56.33 , 140.00 , 169.00 
8/12/15,2015 ,August,45,Chile,Arica,Educational Services,Supervisor trainings,1, 700.00 , 712.00 , 700.00 , 712.00 
9/11/15,2015 ,September,45,Chile,Arica,Educational Services,Data Collection,1, 300.00 , 317.00 , 300.00 , 317.00 
10/27/15,2015 ,October,45,Chile,Arica,Educational Services,Data Collection,3, 251.33 , 302.33 , 754.00 , 907.00 
10/27/15,2015 ,October,45,Chile,Arica,Educational Services,Data Collection,2, 12.50 , 13.50 , 25.00 , 27.00 
1/25/16,2016 ,January,19,Brazil,Amazonas,Educational Services,Basic Training,3, 46.67 , 51.67 , 140.00 , 155.00 
